timestamp_s,src_ip,dst_ip,src_port,dst_port,protocol,queue_depth_bytes,tx_link_util_0_255,flow_hash,datetime_iso
37.575,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:38.591263
37.624,10.0.100.1,224.0.0.1,0,0,OTHER,0,0,977782c3,2026-04-11T17:01:38.640800
37.818,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:38.834665
37.819,10.0.107.15,224.0.0.1,0,0,OTHER,0,0,383717dc,2026-04-11T17:01:38.835351
37.939,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:38.958355
37.946,10.0.107.16,224.0.0.1,0,0,OTHER,0,0,18879e6e,2026-04-11T17:01:38.968489
37.994,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:39.013037
37.997,10.0.106.13,224.0.0.1,0,0,OTHER,0,0,8ffedff3,2026-04-11T17:01:39.016942
38.092,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:39.109240
38.104,10.0.100.2,224.0.0.1,0,0,OTHER,0,0,0b7abfe3,2026-04-11T17:01:39.120712
38.267,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:39.283596
38.269,10.0.105.11,224.0.0.1,0,0,OTHER,0,0,f92bb1e0,2026-04-11T17:01:39.287834
38.466,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:39.482268
38.488,10.0.101.3,224.0.0.1,0,0,OTHER,0,0,17099ba8,2026-04-11T17:01:39.505445
38.743,10.0.102.6,224.0.0.1,0,0,OTHER,0,0,507baf03,2026-04-11T17:01:39.762634
39.171,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:40.187975
39.185,10.0.104.10,224.0.0.1,0,0,OTHER,0,0,8c3d781d,2026-04-11T17:01:40.207020
39.191,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:40.211681
39.196,10.0.101.4,224.0.0.1,0,0,OTHER,0,0,bde9398a,2026-04-11T17:01:40.215981
39.951,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:40.967190
39.973,10.0.104.9,224.0.0.1,0,0,OTHER,0,0,758eff81,2026-04-11T17:01:40.989320
40.261,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:41.279577
40.269,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:41.285603
40.751,10.0.103.8,224.0.0.1,0,0,OTHER,0,0,bf10ffa4,2026-04-11T17:01:41.767590
41.151,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:42.168072
41.168,10.0.106.14,224.0.0.1,0,0,OTHER,0,0,dc20a481,2026-04-11T17:01:42.186699
41.434,10.0.102.5,224.0.0.1,0,0,OTHER,0,0,ae001094,2026-04-11T17:01:42.455951
42.026,10.0.103.7,224.0.0.1,0,0,OTHER,0,0,048c1c86,2026-04-11T17:01:43.042698
